log_id;device_id;activity_date;application_name;screen_time_minutes;battery_usage_percent;activity_category
1;D001;16/12/2025;TikTok;138;24,4;Social Media
2;D001;16/12/2025;Instagram;137;19,2;Social Media
3;D001;16/12/2025;WhatsApp;19;5,7;Messaging
4;D001;16/12/2025;YouTube;60;5,0;Entertainment
5;D003;16/12/2025;TikTok;184;48,0;Entertainment
6;D003;16/12/2025;Safari;91;24,0;Browser
7;D003;16/12/2025;WhatsApp;142;18,0;Communication
8;D001;17/12/2025;Instagram;91;15,6;Social Media
9;D001;17/12/2025;TikTok;59;12,9;Social Media
10;D001;17/12/2025;WhatsApp;20;3,0;Messaging
11;D003;17/12/2025;TikTok;229;51,0;Social Media
12;D003;17/12/2025;Safari;47;14,0;Browser
13;D001;18/12/2025;YouTube Music;117;10,7;Music
14;D001;18/12/2025;Maps;98;4,6;Navigation
15;D001;18/12/2025;WhatsApp;112;18,6;Messaging
16;D003;18/12/2025;Maps;76;22,1;Navigation
17;D003;18/12/2025;Shopee;32;13,7;E-Commerce
18;D001;19/12/2025;Instagram;71;6,0;Social Media
19;D001;19/12/2025;YouTube Music;113;8,0;Music
20;D001;19/12/2025;TikTok;100;17,2;Social Media
21;D003;19/12/2025;WhatsApp;13;17,5;Messaging
22;D003;19/12/2025;TikTok;114;11,5;Social Media
23;D001;20/12/2025;WhatsApp;62;14,0;Messaging
24;D001;20/12/2025;YouTube;60;16,2;Entertainment
25;D001;20/12/2025;Maps;57;10,7;Navigation
26;D003;20/12/2025;Chrome;59;4,7;Browser
27;D003;20/12/2025;GoPay;102;9,0;Finance
28;D001;21/12/2025;Instagram;103;9,4;Social Media
29;D001;21/12/2025;TikTok;71;15,6;Social Media
30;D001;21/12/2025;YouTube;25;23,7;Entertainment
31;D003;21/12/2025;Instagram;65;19,3;Social Media
32;D003;21/12/2025;Shopee;110;2,6;E-Commerce
33;D001;22/12/2025;TikTok;104;23,4;Social Media
34;D001;22/12/2025;WhatsApp;74;16,6;Messaging
35;D001;22/12/2025;YouTube;54;16,0;Entertainment
36;D003;22/12/2025;YouTube;117;13,9;Entertainment
37;D003;22/12/2025;Instagram;29;16,7;Social Media
